booking_id,flight_id,booking_date,status,seat_number,passenger_key,flight_schedule_key,airline,route,duration_minutes,has_anomaly,flight_match_status,amount,payment_method,payment_status
B1011,AI179,2025-10-25 11:37:36,CONFIRMED,22C,5e36d1d24e14134477145b04f1367f7b5bf5bd14ad000cca5c2e43077b35d47a,418ab88fb2e15445c9d4,Air India,HYD - BOM,278,False,Matched,2115.18,CARD,Recorded
B1012,AI137,2025-08-15 11:37:36,PENDING,28B,05be27cf36ccc3069be69551125cb64b5f82d60518cfda83a909c5e49c5d4ed6,83162964d76572477efe,Air India,BOM - DEL,148,False,Matched,,CARD,Missing amount
B1012,AI137,2025-08-15 11:37:36,PENDING,28B,05be27cf36ccc3069be69551125cb64b5f82d60518cfda83a909c5e49c5d4ed6,83162964d76572477efe,Air India,BOM - DEL,148,False,Matched,4074.67,CARD,Recorded
B1012,AI137,2025-08-15 11:37:36,PENDING,28B,05be27cf36ccc3069be69551125cb64b5f82d60518cfda83a909c5e49c5d4ed6,83162964d76572477efe,Air India,BOM - DEL,148,False,Matched,12647.86,CARD,Recorded
B1012,AI137,2025-08-15 11:37:36,PENDING,28B,05be27cf36ccc3069be69551125cb64b5f82d60518cfda83a909c5e49c5d4ed6,83162964d76572477efe,Air India,BOM - DEL,148,False,Matched,6979.86,CARD,Recorded
B1013,SJ001,2025-07-20 11:37:36,CONFIRMED,26E,d8dbea176a91a2449b24561014957b78fa0d6b0b5587c68ff40324a228d5f2e9,3993466f1262f5174e79,Spicejet,BOM - MAA,287,False,Matched,1176.33,UPI,Recorded
B1014,SJ172,2025-09-15 11:37:36,PENDING,21E,fddb6df99200e643a098a8061d10e4c97f494c79480dd0ae5d7cf2a21ccdebad,26b941a20aecd1820791,Spicejet,CCU - DEL,196,False,Matched,,,
B1015,UK094,2025-10-21 11:37:36,UNKNOWN,6F,b6091a8ccb77fbbcafe2bbf93e21d3742abba345c4a6afdaacec868681667041,7fdc3758e9755b31e14d,Vistara,BOM - CCU,105,False,Matched,12008.1,CARD,Recorded
B1015,UK094,2025-10-21 11:37:36,UNKNOWN,6F,b6091a8ccb77fbbcafe2bbf93e21d3742abba345c4a6afdaacec868681667041,7fdc3758e9755b31e14d,Vistara,BOM - CCU,105,False,Matched,7601.56,CARD,Recorded
B1016,UK027,2026-01-13 11:37:36,CANCELLED,6A,b3a3a670872d6b90d31cae8d52d3b6a1e90e3a01d8dea3d08d0270cae8d83238,e934db9efd34b7cfce81,Vistara,BOM - CCU,141,False,Matched,14076.51,CARD,Recorded
B1016,UK027,2026-01-13 11:37:36,CANCELLED,6A,b3a3a670872d6b90d31cae8d52d3b6a1e90e3a01d8dea3d08d0270cae8d83238,e934db9efd34b7cfce81,Vistara,BOM - CCU,141,False,Matched,9724.26,NETBANKING,Recorded
B1017,UK067,2026-04-04 11:37:36,CONFIRMED,13B,10b8d7f32e1777490739201d1015d08aeafd43f157531d98622c1712639fe029,1b9a1de5a2d96934d1f3,Vistara,BOM - CCU,206,False,Matched,,,
B1018,6F196,2026-03-25 11:37:36,CANCELLED,19B,2769a82b95d01bce523a4b6e6324f7f9a81a1e096f0eabfa96b1a8ad655ffc46,0ab0fbffe36012e4db32,IndiGo,CCU - MAA,103,False,Matched,2588.63,UPI,Recorded
B1019,6F164,2025-07-31 11:37:36,CANCELLED,19A,40d07ae2fb6659b098316a5d35c958af884493b255b6beeec61bcbd87a394c0b,3e72eaaa67de403fd49a,IndiGo,BLR - BOM,147,False,Matched,14810.27,UPI,Recorded
B1019,6F164,2025-07-31 11:37:36,CANCELLED,19A,40d07ae2fb6659b098316a5d35c958af884493b255b6beeec61bcbd87a394c0b,3e72eaaa67de403fd49a,IndiGo,BLR - BOM,147,False,Matched,,UPI,Missing amount
B1019,6F164,2025-07-31 11:37:36,CANCELLED,19A,40d07ae2fb6659b098316a5d35c958af884493b255b6beeec61bcbd87a394c0b,3e72eaaa67de403fd49a,IndiGo,BLR - BOM,147,False,Matched,3810.73,CARD,Recorded
B1020,SJ112,2025-12-06 11:37:36,CONFIRMED,27B,7b35317bfc086087b75cf81b63744ab20569c15d693c246b28627d0e91f38b9b,7b8831ff2f9604c7408b,Spicejet,HYD - DEL,140,False,Matched,8150.35,NETBANKING,Recorded
B1021,6F190,2025-12-07 11:37:36,CANCELLED,4E,330d8d1c932cbc20791b4afb63e4896f7eb514e9de89da814b4210a33a88139f,f73ad293d6ba5f805bfc,IndiGo,DEL - MAA,274,False,Matched,6949.93,UPI,Recorded
B1022,AI080,2026-03-25 11:37:36,CONFIRMED,16F,2b0957de50bffd55fa7b9afaf16d7654a7716b55fa4a5d3539a317af3716150a,b2208cc16f7a3f00f5b3,Air India,BOM - HYD,92,False,Matched,,,
B1023,6F213,2026-02-03 11:37:36,PENDING,24B,93118fe398e5275adf94e6d5518c398370283cfd56bb0559cb7fff7425a8e97b,a1c89003548d3b6cc887,IndiGo,BLR - BOM,207,False,Matched,13057.27,CARD,Recorded
B1024,AI115,2025-06-21 11:37:36,PENDING,30F,6b69a412b16507cf4570f0857a55e68ff1ad10a52cab9752cf3eb86e000ad0cd,182b56d3099a0cc8be55,Air India,MAA - BLR,289,False,Matched,4857.79,UPI,Recorded
B1025,SJ049,2026-03-18 11:37:36,PENDING,1B,b349d4332b71e201d9ea9accc74c1a2e5240bf7df803b405e1a8a065ea8ab774,2713da228a5c97861145,Spicejet,CCU - DEL,240,False,Matched,9721.62,CARD,Recorded
B1025,SJ049,2026-03-18 11:37:36,PENDING,1B,b349d4332b71e201d9ea9accc74c1a2e5240bf7df803b405e1a8a065ea8ab774,2713da228a5c97861145,Spicejet,CCU - DEL,240,False,Matched,11899.89,UPI,Recorded
B1025,SJ049,2026-03-18 11:37:36,PENDING,1B,b349d4332b71e201d9ea9accc74c1a2e5240bf7df803b405e1a8a065ea8ab774,2713da228a5c97861145,Spicejet,CCU - DEL,240,False,Matched,14501.45,CARD,Recorded
B1026,AI058,2025-06-27 11:37:36,CONFIRMED,32C,1dc90818e9678db7803c568b7b98526249d90197aa1039010fbfefb720b3df50,3423529b53e84ab50e36,Air India,BOM - CCU,98,False,Matched,2015.66,NETBANKING,Recorded
B1026,AI058,2025-06-27 11:37:36,CONFIRMED,32C,1dc90818e9678db7803c568b7b98526249d90197aa1039010fbfefb720b3df50,3423529b53e84ab50e36,Air India,BOM - CCU,98,False,Matched,11188.7,UPI,Recorded
B1027,UK036,2025-07-25 11:37:36,CONFIRMED,22A,6456a8f95ca9db9fb4cdf72e66bb1151d9e05d505e3d14cb1c72810336dda731,9e73218e389fafecb51f,Vistara,CCU - BLR,264,False,Matched,7503.17,UPI,Recorded
B1028,SJ239,2025-05-25 11:37:36,CANCELLED,26E,ecf9d2d3de6fb30e29d22431aa1e5442ae7f463b85e5590fcc070e217e67ee23,b3ae427d83185aa881b6,Spicejet,BOM - CCU,106,False,Matched,,,
B1029,6F025,2025-06-06 11:37:36,CANCELLED,19C,3bced03ef044a097990ed781f6dbf324ae1b43b52032eed8f9c8b42392a2de9b,7cc02af71847b7b086ac,IndiGo,BLR - BOM,55,False,Matched,,,
B1030,6F236,2026-03-18 11:37:36,CANCELLED,21E,9d4cb2efaac58db267a074cea2e4f1ae2b659800812be9857dbb7efca875f4e7,228fffe001c1ef1b4f8d,IndiGo,BOM - DEL,199,False,Matched,,,
B1031,AI060,2025-11-16 11:37:36,CANCELLED,1E,c1c2553ab36eef35a35635c51b3bf4f1eda349bb1ba3a4497fbb4f8870cf6328,9abb3158c645137992a7,Air India,DEL - HYD,113,False,Matched,7056.42,CARD,Recorded
B1032,UK021,2025-09-03 11:37:36,CANCELLED,18E,44db03b823ff25e012f3f8ad4993b3fe9186cb3e2fd5631013507d7fb0b602c0,10ab58fb9eb37de1af59,Vistara,HYD - MAA,110,False,Matched,,,
B1033,UK026,2025-05-06 11:37:36,UNKNOWN,19A,c21c6fa667f8d371f0bb76493261c0bf30d25076e087271e21e32332e78c3a37,141d032c25926d31a513,Vistara,HYD - MAA,126,False,Matched,9352.83,CARD,Recorded
B1033,UK026,2025-05-06 11:37:36,UNKNOWN,19A,c21c6fa667f8d371f0bb76493261c0bf30d25076e087271e21e32332e78c3a37,141d032c25926d31a513,Vistara,HYD - MAA,126,False,Matched,,UPI,Missing amount
B1033,UK026,2025-05-06 11:37:36,UNKNOWN,19A,c21c6fa667f8d371f0bb76493261c0bf30d25076e087271e21e32332e78c3a37,141d032c25926d31a513,Vistara,HYD - MAA,126,False,Matched,7723.56,UPI,Recorded
B1034,SJ179,2025-12-31 11:37:36,CONFIRMED,22F,e32bb5811f8d0b6825d04381cd5a75c596d7de15d7aae5bc12e94d1a52148fc0,016c43440c874f04dd31,Spicejet,DEL - HYD,210,False,Matched,,,
B1035,6F251,2025-08-21 11:37:36,PENDING,11D,086c7392d53a7c1d0847bb5ef34049a816194413fcd621e7b10c383257b28378,963bf2758ecc7d2b60e0,IndiGo,DEL - BLR,41,True,Matched,,,
B1036,SJ149,2025-11-24 11:37:36,PENDING,5B,2917d9422cb573339f0b82d807b4fc1c8644953f61702df621454d506717b9a2,8c05c50c5a07f3e6dbbd,Spicejet,HYD - MAA,120,False,Matched,5144.89,CARD,Recorded
B1037,AI188,2026-03-20 11:37:36,PENDING,33E,517759dcda730e2f8d4b17328d14f6ae0e67569f2f41cd5f9f869f4e5c3f10d5,a5f8dd3e82c0172db35b,Air India,CCU - HYD,166,False,Matched,,,
B1038,SJ093,2026-01-01 11:37:36,PENDING,12D,b3134da38cb85d52b8aeeda2b5c763438f8bba1370a90e1473e30cc1fc887863,bc19d5cc889082533de0,Spicejet,BLR - BOM,66,False,Matched,,,
B1039,SJ205,2025-08-21 11:37:36,CONFIRMED,11E,814200fc14d2b550ea13d59854c95be78e5aea051010ab3f81f8f8d2a2dbba9c,8c53461635fd33b646b7,Spicejet,HYD - CCU,64,False,Matched,6604.98,CARD,Recorded
B1039,SJ205,2025-08-21 11:37:36,CONFIRMED,11E,814200fc14d2b550ea13d59854c95be78e5aea051010ab3f81f8f8d2a2dbba9c,8c53461635fd33b646b7,Spicejet,HYD - CCU,64,False,Matched,8185.34,UPI,Recorded
B1039,SJ205,2025-08-21 11:37:36,CONFIRMED,11E,814200fc14d2b550ea13d59854c95be78e5aea051010ab3f81f8f8d2a2dbba9c,8c53461635fd33b646b7,Spicejet,HYD - CCU,64,False,Matched,9866.37,CARD,Recorded
B1040,6F099,2025-08-08 11:37:36,CONFIRMED,26B,6e6417f31a668be29fb1ac8ef7d9554fcb9fb37b471ef3133333fb395f46d1e0,1e6ff7fadd83ad28aa3a,IndiGo,MAA - DEL,35,True,Matched,,,
B1041,UK176,2025-05-28 11:37:36,CONFIRMED,25C,ce55d5c12456cee67bf24deefe73805cac5d2e549100b43d6ae558adb5ad4a65,a9ada33bb70ab691d31d,Vistara,HYD - BLR,248,False,Matched,13829.91,UPI,Recorded
B1041,UK176,2025-05-28 11:37:36,CONFIRMED,25C,ce55d5c12456cee67bf24deefe73805cac5d2e549100b43d6ae558adb5ad4a65,a9ada33bb70ab691d31d,Vistara,HYD - BLR,248,False,Matched,9750.27,NETBANKING,Recorded
B1042,UK200,2025-12-02 11:37:36,CANCELLED,24F,ad98b876dc874a43ef474bee467163fd9c08343c3e90fedb00c2189bca215c15,1dc75cfa150f89f6b5b0,Vistara,CCU - DEL,111,False,Matched,14402.39,CARD,Recorded
B1043,6F195,2025-11-22 11:37:36,CANCELLED,8E,537b726fbaff825db2be527ca00c85f630a4936d53b30d26647c96aa453322e8,64d2747137acfa1b9e1b,IndiGo,CCU - DEL,55,False,Matched,8291.6,UPI,Recorded
B1044,6F174,2026-04-12 11:37:36,PENDING,16C,2a7ec54cfce6baa436b93dfd2529e3d76e155e8bc1902690ea215276af03a73d,85dde4cc90254b90f6ff,IndiGo,DEL - HYD,40,True,Matched,1199.88,UPI,Recorded
B1045,SJ214,2026-03-19 11:37:36,UNKNOWN,18C,d5994519f9e38cf3247483058c4bcf47dcc8c07e5d77a5b496c77e9afa86094b,662ee9c0c07c2ef40d03,Spicejet,BOM - MAA,76,False,Matched,2330.65,NETBANKING,Recorded
B1045,SJ214,2026-03-19 11:37:36,UNKNOWN,18C,d5994519f9e38cf3247483058c4bcf47dcc8c07e5d77a5b496c77e9afa86094b,662ee9c0c07c2ef40d03,Spicejet,BOM - MAA,76,False,Matched,4401.56,UPI,Recorded
B1045,SJ214,2026-03-19 11:37:36,UNKNOWN,18C,d5994519f9e38cf3247483058c4bcf47dcc8c07e5d77a5b496c77e9afa86094b,662ee9c0c07c2ef40d03,Spicejet,BOM - MAA,76,False,Matched,,NETBANKING,Missing amount
B1046,UK059,2025-10-14 11:37:36,CONFIRMED,2C,906e4ce539d1a700820485158c823d616a4a6e29f95e429b47fd5e0f82fc1d02,b3c637aa806ea819bb84,Vistara,HYD - MAA,97,False,Matched,13689.48,UPI,Recorded
B1046,UK059,2025-10-14 11:37:36,CONFIRMED,2C,906e4ce539d1a700820485158c823d616a4a6e29f95e429b47fd5e0f82fc1d02,b3c637aa806ea819bb84,Vistara,HYD - MAA,97,False,Matched,12592.83,UPI,Recorded
B1047,6F151,2025-12-29 11:37:36,PENDING,7C,838b3199f1ac962e61d2a6fce3d9493a832e7fa93035ecd84dae0e27c66a5c75,52dfb71071d3f7abface,IndiGo,CCU - HYD,140,False,Matched,,,
B1048,SJ236,2025-09-19 11:37:36,PENDING,18C,c8f890518dd947b1d1ea0b5ee53830fd93d48380c9493e607f8b360c566b2a42,ae04ba81d770974614d5,Spicejet,MAA - BOM,239,False,Matched,,,
B1049,SJ153,2025-07-28 11:37:36,INVALID,3C,2b0957de50bffd55fa7b9afaf16d7654a7716b55fa4a5d3539a317af3716150a,d9343d8ede8f305768d8,Spicejet,DEL - CCU,83,False,Matched,,,
B1050,AI220,2026-01-15 11:37:36,PENDING,7D,1d1f3f229abb524af34f113e3e04ff603de8dfc1a976c2e8e5b65b76fc5a3254,50cb4d1e231843d7b809,Air India,BOM - DEL,98,False,Matched,13350.33,NETBANKING,Recorded
B1051,6F028,2025-07-05 11:37:36,CANCELLED,16A,cabacc30a072aaed634a6d38a170f7ede771ad4f403f3403c94447e61ea2d732,7d7ee40e13058b367fdb,IndiGo,HYD - CCU,120,False,Matched,10875.08,CARD,Recorded
B1052,UK209,2025-12-30 11:37:36,CANCELLED,33B,e993f65750a871310e0d847a3c6485824c90ba4b119716e09c6e1a73cee69f37,416d9c826f4262ceb6be,Vistara,MAA - BLR,165,False,Matched,9827.3,CARD,Recorded
B1053,UK216,2026-04-01 11:37:36,PENDING,28B,e26643aa585aed1d3f49abc069feac9af40b739bc5f5ec264555102626913848,afc72c396b15d8428915,Vistara,MAA - HYD,194,False,Matched,4621.1,UPI,Recorded
B1053,UK216,2026-04-01 11:37:36,PENDING,28B,e26643aa585aed1d3f49abc069feac9af40b739bc5f5ec264555102626913848,afc72c396b15d8428915,Vistara,MAA - HYD,194,False,Matched,3081.42,CARD,Recorded
B1054,AI132,2026-04-11 11:37:36,CANCELLED,19C,f369c1f4618c7e454e21a55cce43145e3d39b0a9ceae7d27a456f1866ab5b68e,d982c06231e88f6d655e,Air India,BLR - BOM,129,False,Matched,,,
B1055,6F012,2025-10-14 11:37:36,CANCELLED,13F,adab66dcfd46c7e9ef1da59d3a9f1b8d99640d5bc6df7c2785f88f86d098ca00,6f3b75290cfcc3230094,IndiGo,CCU - HYD,205,False,Matched,,,
B1056,UK173,2026-03-24 11:37:36,CANCELLED,15B,293d57898fe384ce253be16c31506578a9cd6b5105a61c56284b3f95fa877753,e046db3526f4c88f8420,Vistara,MAA - BLR,256,False,Matched,3173.87,NETBANKING,Recorded
B1056,UK173,2026-03-24 11:37:36,CANCELLED,15B,293d57898fe384ce253be16c31506578a9cd6b5105a61c56284b3f95fa877753,e046db3526f4c88f8420,Vistara,MAA - BLR,256,False,Matched,,CARD,Missing amount
B1057,SJ047,2025-08-20 11:37:36,CANCELLED,14F,37babcf71f5e06a9e32efe2f563b30160f03c837cf0c9d0e03f08255c5477fee,bb8b4424e7f0c464c1b6,Spicejet,HYD - BOM,37,True,Matched,1987.07,UPI,Recorded
B1057,SJ047,2025-08-20 11:37:36,CANCELLED,14F,37babcf71f5e06a9e32efe2f563b30160f03c837cf0c9d0e03f08255c5477fee,bb8b4424e7f0c464c1b6,Spicejet,HYD - BOM,37,True,Matched,10224.13,CARD,Recorded
B1058,SJ043,2025-12-07 11:37:36,PENDING,8C,903b2d213f6ded79c7fd183e3535e28d6f896e1e04192713db87fa08f3967db8,35f1e51a8ca761aba8e0,Spicejet,MAA - DEL,129,False,Matched,,,
B1059,UK140,2026-01-03 11:37:36,CONFIRMED,23B,dab322bb6a12613fa9992f6ce8f0819c99c777c1d621f4f388197920b94afee0,75b0ae176ef6f4446429,Vistara,MAA - BLR,83,False,Matched,10839.07,UPI,Recorded
B1060,6F086,2025-12-30 11:37:36,CONFIRMED,11A,2b8e42fea7e9bbec5ef35049c90f883b88037ab479081eaa300a174cc327288a,fe51fff3ab2767cca524,IndiGo,MAA - HYD,37,True,Matched,11681.98,UPI,Recorded
B1061,6F114,2026-04-05 11:37:36,CANCELLED,19C,b26e58d934fee2e7c912d32d1bdbc61c99f3b70d49602d94d8e36f18cafff723,cb93d1269a07b9afb165,IndiGo,BOM - MAA,50,False,Matched,12021.5,CARD,Recorded
B1061,6F114,2026-04-05 11:37:36,CANCELLED,19C,b26e58d934fee2e7c912d32d1bdbc61c99f3b70d49602d94d8e36f18cafff723,cb93d1269a07b9afb165,IndiGo,BOM - MAA,50,False,Matched,6835.68,CARD,Recorded
B1061,6F114,2026-04-05 11:37:36,CANCELLED,19C,b26e58d934fee2e7c912d32d1bdbc61c99f3b70d49602d94d8e36f18cafff723,cb93d1269a07b9afb165,IndiGo,BOM - MAA,50,False,Matched,12722.62,NETBANKING,Recorded
B1062,UK153,2025-06-12 11:37:36,CANCELLED,15D,f907d307cfdf0096d988e97e2e736ac132b3568993487e2898c63a7212bc1f84,aeb4f675325f237ee0b5,Vistara,CCU - HYD,241,False,Matched,,,
B1063,6F149,2025-05-19 11:37:36,CANCELLED,9A,1a4f01debc79e1f6b1604ce29706a81db0a50b47a658ad521940a77968119306,5cb604698d22abd8a00c,IndiGo,BLR - CCU,165,False,Matched,,,
B1064,UK145,2025-09-14 11:37:36,CONFIRMED,24E,e568e6620cc33c0e007d11e2120a7c5c4421694d952f7383609973a2a498628a,a885cd16b89c0d9b8ad8,Vistara,BOM - HYD,131,False,Matched,14413.72,UPI,Recorded
B1065,UK010,2026-03-06 11:37:36,CANCELLED,7B,da0b9c716f58a331842c27370bb2f7b342bef837640572b7fd85c93b478458c0,3a4c3392654fc03a0a26,Vistara,MAA - HYD,167,False,Matched,,,
B1066,SJ003,2025-11-05 11:37:36,PENDING,1B,afb725460e4cc85fde8d4139ab56f2d0bc072e3eacb1cb988179fd23e3d70802,4aa17ba8498f3233a295,Spicejet,MAA - CCU,42,True,Matched,,,
B1067,SJ160,2025-07-23 11:37:36,PENDING,7F,e21266d0494566a73978983393c393c5c3645489df0a121d647c5d438adf308b,d1fc3b1888b0a845e413,Spicejet,MAA - BLR,45,False,Matched,4488.44,UPI,Recorded
B1067,SJ160,2025-07-23 11:37:36,PENDING,7F,e21266d0494566a73978983393c393c5c3645489df0a121d647c5d438adf308b,d1fc3b1888b0a845e413,Spicejet,MAA - BLR,45,False,Matched,7570.06,UPI,Recorded
B1067,SJ160,2025-07-23 11:37:36,PENDING,7F,e21266d0494566a73978983393c393c5c3645489df0a121d647c5d438adf308b,d1fc3b1888b0a845e413,Spicejet,MAA - BLR,45,False,Matched,5374.84,NETBANKING,Recorded
B1068,UK224,2025-11-22 11:37:36,PENDING,23A,72f8c1597b65a04d282fdc8a47a661ff43bf9037acfcf4abb517fbf8dd7a2196,12d2521b5cf79b914ad2,Vistara,CCU - MAA,239,False,Matched,5274.94,NETBANKING,Recorded
B1069,UK152,2025-08-02 11:37:36,CONFIRMED,16E,25c73c17e83d04dddbbf4e87342071ad13407dca5b538655532a9eefb161ab36,e2fb67fb945ec11ba9d7,Vistara,BOM - CCU,169,False,Matched,14992.95,UPI,Recorded
B1070,SJ034,2025-09-22 11:37:36,CANCELLED,15D,e26643aa585aed1d3f49abc069feac9af40b739bc5f5ec264555102626913848,47d5c9c5cf14643cb211,Spicejet,MAA - BOM,291,False,Matched,5631.13,NETBANKING,Recorded
B1071,UK215,2025-12-21 11:37:36,CANCELLED,15F,ab94e679496f59f5399d34ab4ba6f105fc05b9dd69823269b6d0316d6886f610,9f666b3e912b32921bb8,Vistara,BOM - DEL,132,False,Matched,,,
B1072,UK089,2025-08-10 11:37:36,CANCELLED,18F,8dfd45b5cc3e58d3a543a4ab9c3bd3876d3c28c8e136a4f9a3634571b28bb251,3c572ae0d5fb8bf604f7,Vistara,BOM - HYD,252,False,Matched,,,
B1073,6F180,2025-12-04 11:37:36,CONFIRMED,16A,5f20d99fea076c9410296e729b474c6bc03891d71d51b0557517d74395da5ac6,e83b9ce72bcb034c3fdf,IndiGo,MAA - BLR,264,False,Matched,,,
B1074,6F188,2025-09-25 11:37:36,CONFIRMED,7A,8e4734a92d4800f860ba15d962b4b3d7b25c6ac4d5a3894d09e2d44050bf0845,78f32f2ec4c6951fc94b,IndiGo,DEL - HYD,282,False,Matched,,,
B1075,UK131,2026-01-03 11:37:36,CONFIRMED,2F,b7e0ff66c4e7e97dff64870733b98e827770a7f69927075353b21477f86643d2,eb066b95ac094ab0b0e9,Vistara,BOM - DEL,246,False,Matched,,,
B1076,UK055,2025-05-04 11:37:36,CONFIRMED,12B,1f38ca6b94382d46601d6f2403fba41c9bc47578862c423e589fe02bad40ea97,ea0b389ad46a0da0cafb,Vistara,HYD - DEL,163,False,Matched,8247.5,CARD,Recorded
B1077,UK181,2025-05-03 11:37:36,PENDING,3A,72f8751844ecf7451d0c034d58a106844348fc045bccf13853fdf7cd1d4972b1,853d5841a2165a44c4ad,Vistara,MAA - DEL,162,False,Matched,2981.73,NETBANKING,Recorded
B1077,UK181,2025-05-03 11:37:36,PENDING,3A,72f8751844ecf7451d0c034d58a106844348fc045bccf13853fdf7cd1d4972b1,853d5841a2165a44c4ad,Vistara,MAA - DEL,162,False,Matched,8279.97,CARD,Recorded
B1078,6F077,2025-09-21 11:37:36,CONFIRMED,1B,162892ff5b02fff50158e63eb8c80cf68a44302d9015a737cf1341dd3a3520ad,b132c9fb80a9d3dab24f,IndiGo,CCU - DEL,258,False,Matched,,,
B1079,SJ085,2025-06-03 11:37:36,CONFIRMED,10D,e374846d0f5965877614590e64db27f9a4f8a73fe642bc5ce52d1e7b67cd78cb,70bfb597b541683a7a14,Spicejet,BLR - MAA,270,False,Matched,,,
B1080,SJ023,2025-06-05 11:37:36,CONFIRMED,22D,dc02ab2aff3664171436868d9f9421ec636a4f8d26bfa06a031e3f8980f0536f,4c0ecd23a029ec9281ac,Spicejet,HYD - MAA,102,False,Matched,6604.5,UPI,Recorded
B1080,SJ023,2025-06-05 11:37:36,CONFIRMED,22D,dc02ab2aff3664171436868d9f9421ec636a4f8d26bfa06a031e3f8980f0536f,4c0ecd23a029ec9281ac,Spicejet,HYD - MAA,102,False,Matched,14564.92,CARD,Recorded
B1081,SJ202,2025-11-13 11:37:36,CANCELLED,29C,a453621f9882cccf4bb848c79f8ff04471eac093fa1335dffcbe36753a662d9c,0ab77f64197389c8c311,Spicejet,CCU - HYD,107,False,Matched,,,
B1082,SJ150,2025-09-09 11:37:36,CANCELLED,30A,181bf0c903b55ea0776be964b675934a5390ca6269a83482a0318d023fcae02a,522aa0ce27aee1ae64e9,Spicejet,BOM - HYD,210,False,Matched,,,
B1083,SJ116,2025-05-12 11:37:36,CANCELLED,9A,7ba92c76e3605eea66abc69c59fc272f8b5bae7b22564caa27d340780d92eebf,e29aa1e5c0adb673e557,Spicejet,HYD - CCU,89,False,Matched,6777.38,NETBANKING,Recorded
B1084,6F270,2025-06-14 11:37:36,PENDING,16E,2610aac831960257f20f8154424197c568af586b9aea65e94aeca42be1308359,f4816cd9251cd36c67df,IndiGo,HYD - MAA,48,False,Matched,,,
B1085,UK150,2026-03-24 11:37:36,PENDING,12A,04b4527fc3a09982d4f4d946d1192aa2c368cc1cbfada32c0eb2252f96858ffc,a1871139a0e48198c2ee,Vistara,DEL - CCU,30,True,Matched,11410.8,NETBANKING,Recorded
B1086,SJ237,2026-02-16 11:37:36,CONFIRMED,5D,55aa1f2208e3056db5eca4ab0bc39de06903c91f043557c64579aa7aaf8081fa,b2dc78712bb66ad24670,Spicejet,BOM - CCU,148,False,Matched,3704.21,UPI,Recorded
