flight_id,airline,source,destination,departure_time,arrival_time,overnight_adjusted,duration_minutes,route,departure_date,departure_hour,duration_band,anomaly_type,has_anomaly,flight_schedule_key
UK167,Vistara,DEL,MAA,2026-04-20 22:45:41,2026-04-21 01:46:41,False,181,DEL - MAA,2026-04-20,22,181 to 300 min,,False,862dde348cedf5de96bc
UK027,Vistara,BOM,CCU,2026-04-20 22:44:41,2026-04-21 01:05:41,False,141,BOM - CCU,2026-04-20,22,91 to 180 min,,False,e934db9efd34b7cfce81
AI069,Air India,DEL,BOM,2026-04-20 22:43:41,2026-04-21 02:29:41,False,226,DEL - BOM,2026-04-20,22,181 to 300 min,,False,7d8f7622de16964d4b09
AI058,Air India,BOM,CCU,2026-04-20 22:40:41,2026-04-21 00:18:41,False,98,BOM - CCU,2026-04-20,22,91 to 180 min,,False,3423529b53e84ab50e36
AI140,Air India,BOM,DEL,2026-04-20 22:25:41,2026-04-21 02:08:41,False,223,BOM - DEL,2026-04-20,22,181 to 300 min,,False,48288285f257accfd0ef
SJ239,Spicejet,BOM,CCU,2026-04-20 22:24:41,2026-04-21 00:10:41,False,106,BOM - CCU,2026-04-20,22,91 to 180 min,,False,b3ae427d83185aa881b6
6F099,IndiGo,MAA,DEL,2026-04-20 22:24:41,2026-04-20 22:59:41,False,35,MAA - DEL,2026-04-20,22,Up to 90 min,Short duration under 45 minutes,True,1e6ff7fadd83ad28aa3a
AI048,Air India,CCU,DEL,2026-04-20 22:23:41,2026-04-21 02:15:41,False,232,CCU - DEL,2026-04-20,22,181 to 300 min,,False,33f3be7d8b385df5c607
SJ112,Spicejet,HYD,DEL,2026-04-20 22:20:41,2026-04-21 00:40:41,False,140,HYD - DEL,2026-04-20,22,91 to 180 min,,False,7b8831ff2f9604c7408b
6F164,IndiGo,BLR,BOM,2026-04-20 22:18:41,2026-04-21 00:45:41,False,147,BLR - BOM,2026-04-20,22,91 to 180 min,,False,3e72eaaa67de403fd49a
UK021,Vistara,HYD,MAA,2026-04-20 22:00:41,2026-04-20 23:50:41,False,110,HYD - MAA,2026-04-20,22,91 to 180 min,,False,10ab58fb9eb37de1af59
SJ172,Spicejet,CCU,DEL,2026-04-20 21:58:41,2026-04-21 01:14:41,False,196,CCU - DEL,2026-04-20,21,181 to 300 min,,False,26b941a20aecd1820791
AI060,Air India,DEL,HYD,2026-04-20 21:58:41,2026-04-20 23:51:41,False,113,DEL - HYD,2026-04-20,21,91 to 180 min,,False,9abb3158c645137992a7
SJ205,Spicejet,HYD,CCU,2026-04-20 21:56:41,2026-04-20 23:00:41,False,64,HYD - CCU,2026-04-20,21,Up to 90 min,,False,8c53461635fd33b646b7
SJ093,Spicejet,BLR,BOM,2026-04-20 21:55:41,2026-04-20 23:01:41,False,66,BLR - BOM,2026-04-20,21,Up to 90 min,,False,bc19d5cc889082533de0
6F195,IndiGo,CCU,DEL,2026-04-20 21:44:41,2026-04-20 22:39:41,False,55,CCU - DEL,2026-04-20,21,Up to 90 min,,False,64d2747137acfa1b9e1b
UK003,Vistara,HYD,DEL,2026-04-20 21:41:41,2026-04-21 02:19:41,False,278,HYD - DEL,2026-04-20,21,181 to 300 min,,False,42c28cc5c37dfcea74f4
UK026,Vistara,HYD,MAA,2026-04-20 21:38:41,2026-04-20 23:44:41,False,126,HYD - MAA,2026-04-20,21,91 to 180 min,,False,141d032c25926d31a513
6F174,IndiGo,DEL,HYD,2026-04-20 21:36:41,2026-04-20 22:16:41,False,40,DEL - HYD,2026-04-20,21,Up to 90 min,Short duration under 45 minutes,True,85dde4cc90254b90f6ff
UK067,Vistara,BOM,CCU,2026-04-20 21:36:41,2026-04-21 01:02:41,False,206,BOM - CCU,2026-04-20,21,181 to 300 min,,False,1b9a1de5a2d96934d1f3
SJ149,Spicejet,HYD,MAA,2026-04-20 21:20:41,2026-04-20 23:20:42,False,120,HYD - MAA,2026-04-20,21,91 to 180 min,,False,8c05c50c5a07f3e6dbbd
6F213,IndiGo,BLR,BOM,2026-04-20 21:05:41,2026-04-21 00:32:41,False,207,BLR - BOM,2026-04-20,21,181 to 300 min,,False,a1c89003548d3b6cc887
UK200,Vistara,CCU,DEL,2026-04-20 20:54:41,2026-04-20 22:45:41,False,111,CCU - DEL,2026-04-20,20,91 to 180 min,,False,1dc75cfa150f89f6b5b0
SJ214,Spicejet,BOM,MAA,2026-04-20 20:54:41,2026-04-20 22:10:41,False,76,BOM - MAA,2026-04-20,20,Up to 90 min,,False,662ee9c0c07c2ef40d03
SJ047,Spicejet,HYD,BOM,2026-04-20 20:44:41,2026-04-20 21:21:41,False,37,HYD - BOM,2026-04-20,20,Up to 90 min,Short duration under 45 minutes,True,bb8b4424e7f0c464c1b6
AI179,Air India,HYD,BOM,2026-04-20 20:41:41,2026-04-21 01:19:41,False,278,HYD - BOM,2026-04-20,20,181 to 300 min,,False,418ab88fb2e15445c9d4
SJ153,Spicejet,DEL,CCU,2026-04-20 20:37:41,2026-04-20 22:00:41,False,83,DEL - CCU,2026-04-20,20,Up to 90 min,,False,d9343d8ede8f305768d8
6F236,IndiGo,BOM,DEL,2026-04-20 20:35:41,2026-04-20 23:54:41,False,199,BOM - DEL,2026-04-20,20,181 to 300 min,,False,228fffe001c1ef1b4f8d
UK059,Vistara,HYD,MAA,2026-04-20 20:33:41,2026-04-20 22:10:41,False,97,HYD - MAA,2026-04-20,20,91 to 180 min,,False,b3c637aa806ea819bb84
SJ001,Spicejet,BOM,MAA,2026-04-20 20:28:41,2026-04-21 01:15:41,False,287,BOM - MAA,2026-04-20,20,181 to 300 min,,False,3993466f1262f5174e79
SJ049,Spicejet,CCU,DEL,2026-04-20 20:26:41,2026-04-21 00:26:41,False,240,CCU - DEL,2026-04-20,20,181 to 300 min,,False,2713da228a5c97861145
6F086,IndiGo,MAA,HYD,2026-04-20 20:23:41,2026-04-20 21:00:41,False,37,MAA - HYD,2026-04-20,20,Up to 90 min,Short duration under 45 minutes,True,fe51fff3ab2767cca524
AI220,Air India,BOM,DEL,2026-04-20 20:19:41,2026-04-20 21:57:41,False,98,BOM - DEL,2026-04-20,20,91 to 180 min,,False,50cb4d1e231843d7b809
AI188,Air India,CCU,HYD,2026-04-20 20:16:41,2026-04-20 23:02:41,False,166,CCU - HYD,2026-04-20,20,91 to 180 min,,False,a5f8dd3e82c0172db35b
6F114,IndiGo,BOM,MAA,2026-04-20 20:10:41,2026-04-20 21:00:41,False,50,BOM - MAA,2026-04-20,20,Up to 90 min,,False,cb93d1269a07b9afb165
SJ179,Spicejet,DEL,HYD,2026-04-20 20:09:41,2026-04-20 23:39:41,False,210,DEL - HYD,2026-04-20,20,181 to 300 min,,False,016c43440c874f04dd31
6F190,IndiGo,DEL,MAA,2026-04-20 20:02:41,2026-04-21 00:36:41,False,274,DEL - MAA,2026-04-20,20,181 to 300 min,,False,f73ad293d6ba5f805bfc
SJ003,Spicejet,MAA,CCU,2026-04-20 19:50:41,2026-04-20 20:32:41,False,42,MAA - CCU,2026-04-20,19,Up to 90 min,Short duration under 45 minutes,True,4aa17ba8498f3233a295
6F028,IndiGo,HYD,CCU,2026-04-20 19:49:41,2026-04-20 21:49:41,False,120,HYD - CCU,2026-04-20,19,91 to 180 min,,False,7d7ee40e13058b367fdb
UK036,Vistara,CCU,BLR,2026-04-20 19:48:41,2026-04-21 00:12:41,False,264,CCU - BLR,2026-04-20,19,181 to 300 min,,False,9e73218e389fafecb51f
SJ160,Spicejet,MAA,BLR,2026-04-20 19:45:41,2026-04-20 20:30:41,False,45,MAA - BLR,2026-04-20,19,Up to 90 min,,False,d1fc3b1888b0a845e413
6F151,IndiGo,CCU,HYD,2026-04-20 19:44:41,2026-04-20 22:04:41,False,140,CCU - HYD,2026-04-20,19,91 to 180 min,,False,52dfb71071d3f7abface
UK140,Vistara,MAA,BLR,2026-04-20 19:37:41,2026-04-20 21:00:41,False,83,MAA - BLR,2026-04-20,19,Up to 90 min,,False,75b0ae176ef6f4446429
AI115,Air India,MAA,BLR,2026-04-20 19:37:41,2026-04-21 00:26:41,False,289,MAA - BLR,2026-04-20,19,181 to 300 min,,False,182b56d3099a0cc8be55
AI132,Air India,BLR,BOM,2026-04-20 19:32:41,2026-04-20 21:41:41,False,129,BLR - BOM,2026-04-20,19,91 to 180 min,,False,d982c06231e88f6d655e
UK209,Vistara,MAA,BLR,2026-04-20 19:02:41,2026-04-20 21:47:41,False,165,MAA - BLR,2026-04-20,19,91 to 180 min,,False,416d9c826f4262ceb6be
SJ043,Spicejet,MAA,DEL,2026-04-20 18:59:41,2026-04-20 21:08:41,False,129,MAA - DEL,2026-04-20,18,91 to 180 min,,False,35f1e51a8ca761aba8e0
UK176,Vistara,HYD,BLR,2026-04-20 18:41:41,2026-04-20 22:49:41,False,248,HYD - BLR,2026-04-20,18,181 to 300 min,,False,a9ada33bb70ab691d31d
UK216,Vistara,MAA,HYD,2026-04-20 18:33:41,2026-04-20 21:47:41,False,194,MAA - HYD,2026-04-20,18,181 to 300 min,,False,afc72c396b15d8428915
UK150,Vistara,DEL,CCU,2026-04-20 18:31:41,2026-04-20 19:01:41,False,30,DEL - CCU,2026-04-20,18,Up to 90 min,Short duration under 45 minutes,True,a1871139a0e48198c2ee
UK145,Vistara,BOM,HYD,2026-04-20 18:30:41,2026-04-20 20:41:41,False,131,BOM - HYD,2026-04-20,18,91 to 180 min,,False,a885cd16b89c0d9b8ad8
6F270,IndiGo,HYD,MAA,2026-04-20 18:14:41,2026-04-20 19:02:41,False,48,HYD - MAA,2026-04-20,18,Up to 90 min,,False,f4816cd9251cd36c67df
6F012,IndiGo,CCU,HYD,2026-04-20 18:06:41,2026-04-20 21:31:41,False,205,CCU - HYD,2026-04-20,18,181 to 300 min,,False,6f3b75290cfcc3230094
SJ236,Spicejet,MAA,BOM,2026-04-20 18:03:41,2026-04-20 22:02:41,False,239,MAA - BOM,2026-04-20,18,181 to 300 min,,False,ae04ba81d770974614d5
6F149,IndiGo,BLR,CCU,2026-04-20 17:57:41,2026-04-20 20:42:41,False,165,BLR - CCU,2026-04-20,17,91 to 180 min,,False,5cb604698d22abd8a00c
UK004,Vistara,BOM,CCU,2026-04-20 17:56:41,2026-04-20 18:30:41,False,34,BOM - CCU,2026-04-20,17,Up to 90 min,Short duration under 45 minutes,True,8fe5f1278c8ec017be41
UK010,Vistara,MAA,HYD,2026-04-20 17:53:41,2026-04-20 20:40:41,False,167,MAA - HYD,2026-04-20,17,91 to 180 min,,False,3a4c3392654fc03a0a26
UK215,Vistara,BOM,DEL,2026-04-20 17:38:41,2026-04-20 19:50:41,False,132,BOM - DEL,2026-04-20,17,91 to 180 min,,False,9f666b3e912b32921bb8
SJ116,Spicejet,HYD,CCU,2026-04-20 17:33:41,2026-04-20 19:02:41,False,89,HYD - CCU,2026-04-20,17,Up to 90 min,,False,e29aa1e5c0adb673e557
SJ023,Spicejet,HYD,MAA,2026-04-20 17:27:41,2026-04-20 19:09:41,False,102,HYD - MAA,2026-04-20,17,91 to 180 min,,False,4c0ecd23a029ec9281ac
UK152,Vistara,BOM,CCU,2026-04-20 17:24:41,2026-04-20 20:13:41,False,169,BOM - CCU,2026-04-20,17,91 to 180 min,,False,e2fb67fb945ec11ba9d7
SJ202,Spicejet,CCU,HYD,2026-04-20 17:21:41,2026-04-20 19:08:41,False,107,CCU - HYD,2026-04-20,17,91 to 180 min,,False,0ab77f64197389c8c311
6F043,IndiGo,BOM,HYD,2026-04-20 17:17:41,2026-04-20 18:43:41,False,86,BOM - HYD,2026-04-20,17,Up to 90 min,,False,62a2d1b782605c3a2c1c
UK173,Vistara,MAA,BLR,2026-04-20 17:06:41,2026-04-20 21:22:41,False,256,MAA - BLR,2026-04-20,17,181 to 300 min,,False,e046db3526f4c88f8420
SJ081,Spicejet,BOM,BLR,2026-04-20 17:04:41,2026-04-20 18:53:41,False,109,BOM - BLR,2026-04-20,17,91 to 180 min,,False,c67e1d36f9897be2d33d
UK153,Vistara,CCU,HYD,2026-04-20 16:52:41,2026-04-20 20:53:41,False,241,CCU - HYD,2026-04-20,16,181 to 300 min,,False,aeb4f675325f237ee0b5
UK187,Vistara,BLR,BOM,2026-04-20 16:52:41,2026-04-20 18:42:41,False,110,BLR - BOM,2026-04-20,16,91 to 180 min,,False,4f97e21947cf3b2a6b0c
UK055,Vistara,HYD,DEL,2026-04-20 16:48:41,2026-04-20 19:31:41,False,163,HYD - DEL,2026-04-20,16,91 to 180 min,,False,ea0b389ad46a0da0cafb
UK181,Vistara,MAA,DEL,2026-04-20 16:44:41,2026-04-20 19:26:41,False,162,MAA - DEL,2026-04-20,16,91 to 180 min,,False,853d5841a2165a44c4ad
UK074,Vistara,BOM,DEL,2026-04-20 16:44:41,2026-04-20 18:41:41,False,117,BOM - DEL,2026-04-20,16,91 to 180 min,,False,32a006c60cff1d0150aa
SJ068,Spicejet,BLR,BOM,2026-04-20 16:44:41,2026-04-20 18:48:41,False,124,BLR - BOM,2026-04-20,16,91 to 180 min,,False,51266e4891ea17416187
AI242,Air India,BLR,CCU,2026-04-20 16:41:41,2026-04-20 17:43:41,False,62,BLR - CCU,2026-04-20,16,Up to 90 min,,False,ff28058d8d4dc5dd78f1
SJ237,Spicejet,BOM,CCU,2026-04-20 16:32:41,2026-04-20 19:00:41,False,148,BOM - CCU,2026-04-20,16,91 to 180 min,,False,b2dc78712bb66ad24670
6F194,IndiGo,BOM,CCU,2026-04-20 16:29:41,2026-04-20 18:27:41,False,118,BOM - CCU,2026-04-20,16,91 to 180 min,,False,be00c3a39a2bf355cc05
UK063,Vistara,DEL,BOM,2026-04-20 16:29:41,2026-04-20 17:41:41,False,72,DEL - BOM,2026-04-20,16,Up to 90 min,,False,7120f8186188e824f2b7
UK068,Vistara,BLR,MAA,2026-04-20 16:28:41,2026-04-20 18:09:41,False,101,BLR - MAA,2026-04-20,16,91 to 180 min,,False,470287913bb6d5685735
UK224,Vistara,CCU,MAA,2026-04-20 16:25:41,2026-04-20 20:24:41,False,239,CCU - MAA,2026-04-20,16,181 to 300 min,,False,12d2521b5cf79b914ad2
UK077,Vistara,HYD,BOM,2026-04-20 16:22:41,2026-04-20 18:00:41,False,98,HYD - BOM,2026-04-20,16,91 to 180 min,,False,94becb01f7853c67cd47
UK207,Vistara,MAA,CCU,2026-04-20 16:21:41,2026-04-20 17:36:41,False,75,MAA - CCU,2026-04-20,16,Up to 90 min,,False,94266884283e86096db9
AI221,Air India,MAA,HYD,2026-04-20 16:18:41,2026-04-20 18:54:41,False,156,MAA - HYD,2026-04-20,16,91 to 180 min,,False,6ad6954a6d0d0aaea046
UK109,Vistara,BLR,BOM,2026-04-20 16:06:41,2026-04-20 17:06:42,False,60,BLR - BOM,2026-04-20,16,Up to 90 min,,False,8501c352104ab4337e84
UK089,Vistara,BOM,HYD,2026-04-20 15:38:41,2026-04-20 19:50:41,False,252,BOM - HYD,2026-04-20,15,181 to 300 min,,False,3c572ae0d5fb8bf604f7
AI072,Air India,BLR,CCU,2026-04-20 15:34:41,2026-04-20 16:32:41,False,58,BLR - CCU,2026-04-20,15,Up to 90 min,,False,ef7affe02f0e9fe6df5b
UK131,Vistara,BOM,DEL,2026-04-20 15:33:41,2026-04-20 19:39:41,False,246,BOM - DEL,2026-04-20,15,181 to 300 min,,False,eb066b95ac094ab0b0e9
SJ150,Spicejet,BOM,HYD,2026-04-20 15:33:41,2026-04-20 19:03:41,False,210,BOM - HYD,2026-04-20,15,181 to 300 min,,False,522aa0ce27aee1ae64e9
6F097,IndiGo,BLR,BOM,2026-04-20 15:32:41,2026-04-20 16:49:41,False,77,BLR - BOM,2026-04-20,15,Up to 90 min,,False,88b9679491a5f242aea9
6F123,IndiGo,DEL,HYD,2026-04-20 15:26:41,2026-04-20 17:12:41,False,106,DEL - HYD,2026-04-20,15,91 to 180 min,,False,44f4a8a09364eedd050c
6F017,IndiGo,CCU,BOM,2026-04-20 15:25:41,2026-04-20 18:06:41,False,161,CCU - BOM,2026-04-20,15,91 to 180 min,,False,3d15afd721dfb685765a
6F245,IndiGo,CCU,BOM,2026-04-20 15:25:41,2026-04-20 18:06:41,False,161,CCU - BOM,2026-04-20,15,91 to 180 min,,False,2d7da0ce5e7fcba146aa
6F180,IndiGo,MAA,BLR,2026-04-20 15:24:41,2026-04-20 19:48:41,False,264,MAA - BLR,2026-04-20,15,181 to 300 min,,False,e83b9ce72bcb034c3fdf
6F152,IndiGo,CCU,DEL,2026-04-20 15:21:41,2026-04-20 17:25:41,False,124,CCU - DEL,2026-04-20,15,91 to 180 min,,False,90e404119487e62c2267
SJ034,Spicejet,MAA,BOM,2026-04-20 15:20:41,2026-04-20 20:11:41,False,291,MAA - BOM,2026-04-20,15,181 to 300 min,,False,47d5c9c5cf14643cb211
SJ142,Spicejet,CCU,BOM,2026-04-20 15:14:41,2026-04-20 16:56:41,False,102,CCU - BOM,2026-04-20,15,91 to 180 min,,False,10bfd02375b5fb595798
UK189,Vistara,BLR,MAA,2026-04-20 15:07:41,2026-04-20 18:51:41,False,224,BLR - MAA,2026-04-20,15,181 to 300 min,,False,3c0728150441583886ec
SJ044,Spicejet,DEL,CCU,2026-04-20 15:06:41,2026-04-20 17:43:41,False,157,DEL - CCU,2026-04-20,15,91 to 180 min,,False,b16ab73d8845164c25cc
SJ196,Spicejet,DEL,HYD,2026-04-20 14:58:41,2026-04-20 17:44:41,False,166,DEL - HYD,2026-04-20,14,91 to 180 min,,False,185e9c1c8f1483172884
6F188,IndiGo,DEL,HYD,2026-04-20 14:57:41,2026-04-20 19:39:41,False,282,DEL - HYD,2026-04-20,14,181 to 300 min,,False,78f32f2ec4c6951fc94b
6F181,IndiGo,BOM,MAA,2026-04-20 14:55:41,2026-04-20 16:43:41,False,108,BOM - MAA,2026-04-20,14,91 to 180 min,,False,d4064d1ae06f8d0bf3a3
6F077,IndiGo,CCU,DEL,2026-04-20 14:55:41,2026-04-20 19:13:41,False,258,CCU - DEL,2026-04-20,14,181 to 300 min,,False,b132c9fb80a9d3dab24f
SJ154,Spicejet,BLR,HYD,2026-04-20 14:47:41,2026-04-20 16:26:41,False,99,BLR - HYD,2026-04-20,14,91 to 180 min,,False,1ad73429a3387ea1e154
AI025,Air India,HYD,DEL,2026-04-20 14:46:41,2026-04-20 17:11:41,False,145,HYD - DEL,2026-04-20,14,91 to 180 min,,False,a754a355f0e897ea3ede
AI094,Air India,DEL,BLR,2026-04-20 14:44:41,2026-04-20 15:44:42,False,60,DEL - BLR,2026-04-20,14,Up to 90 min,,False,c64b4f134600a3ea5355
6F191,IndiGo,BLR,DEL,2026-04-20 14:41:41,2026-04-20 15:11:41,False,30,BLR - DEL,2026-04-20,14,Up to 90 min,Short duration under 45 minutes,True,575d3d68be89463e2dc7
SJ085,Spicejet,BLR,MAA,2026-04-20 14:41:41,2026-04-20 19:11:41,False,270,BLR - MAA,2026-04-20,14,181 to 300 min,,False,70bfb597b541683a7a14
6F261,IndiGo,CCU,DEL,2026-04-20 14:31:41,2026-04-20 17:29:41,False,178,CCU - DEL,2026-04-20,14,91 to 180 min,,False,6433ad1372d8ce66864d
6F129,IndiGo,DEL,CCU,2026-04-20 14:28:41,2026-04-20 16:47:41,False,139,DEL - CCU,2026-04-20,14,91 to 180 min,,False,145910e997ffd31e0c2c
6F254,IndiGo,MAA,BLR,2026-04-20 14:26:41,2026-04-20 18:01:41,False,215,MAA - BLR,2026-04-20,14,181 to 300 min,,False,6e307ddc883abbb2aee3
SJ185,Spicejet,BOM,CCU,2026-04-20 14:21:41,2026-04-20 15:21:41,False,60,BOM - CCU,2026-04-20,14,Up to 90 min,,False,6303c936f3b1da65b459
6F030,IndiGo,BOM,DEL,2026-04-20 14:20:41,2026-04-20 17:10:41,False,170,BOM - DEL,2026-04-20,14,91 to 180 min,,False,6c93fb0bb4fd70b63e16
SJ222,Spicejet,BOM,DEL,2026-04-20 14:15:41,2026-04-20 17:09:41,False,174,BOM - DEL,2026-04-20,14,91 to 180 min,,False,fb1081a8c1721df1c4c5
6F259,IndiGo,BOM,DEL,2026-04-20 14:10:41,2026-04-20 15:21:41,False,71,BOM - DEL,2026-04-20,14,Up to 90 min,,False,6db6dac2722684a9e244
UK083,Vistara,DEL,HYD,2026-04-20 14:10:41,2026-04-20 14:59:41,False,49,DEL - HYD,2026-04-20,14,Up to 90 min,,False,9f9698cef09f9962a2fb
6F051,IndiGo,BLR,BOM,2026-04-20 13:58:41,2026-04-20 15:58:41,False,120,BLR - BOM,2026-04-20,13,91 to 180 min,,False,5b05a718df05cb779353
SJ088,Spicejet,CCU,MAA,2026-04-20 13:54:41,2026-04-20 14:26:41,False,32,CCU - MAA,2026-04-20,13,Up to 90 min,Short duration under 45 minutes,True,cfe3f799d50e6d7d39ad
6F146,IndiGo,HYD,MAA,2026-04-20 13:51:41,2026-04-20 15:07:41,False,76,HYD - MAA,2026-04-20,13,Up to 90 min,,False,075161928fbe6c06ea60
6F047,IndiGo,MAA,DEL,2026-04-20 13:50:41,2026-04-20 15:55:41,False,125,MAA - DEL,2026-04-20,13,91 to 180 min,,False,185f5aff33db11f78759
AI077,Air India,CCU,HYD,2026-04-20 13:45:41,2026-04-20 14:51:41,False,66,CCU - HYD,2026-04-20,13,Up to 90 min,,False,a97fb72f01800515d88e
UK134,Vistara,HYD,CCU,2026-04-20 13:44:41,2026-04-20 17:26:41,False,222,HYD - CCU,2026-04-20,13,181 to 300 min,,False,fa64320f62634bd4d990
AI056,Air India,DEL,MAA,2026-04-20 13:44:41,2026-04-20 17:39:41,False,235,DEL - MAA,2026-04-20,13,181 to 300 min,,False,0e6f965f73978235eabd
UK141,Vistara,HYD,MAA,2026-04-20 13:38:41,2026-04-20 15:59:41,False,141,HYD - MAA,2026-04-20,13,91 to 180 min,,False,c6737f087a61c60af49c
AI030,Air India,CCU,HYD,2026-04-20 13:33:41,2026-04-20 16:52:41,False,199,CCU - HYD,2026-04-20,13,181 to 300 min,,False,bf6fec710dc54a39454b
AI029,Air India,MAA,DEL,2026-04-20 13:29:41,2026-04-20 17:53:41,False,264,MAA - DEL,2026-04-20,13,181 to 300 min,,False,2dd101a0cc987824c5da
SJ167,Spicejet,MAA,CCU,2026-04-20 13:18:41,2026-04-20 14:12:41,False,54,MAA - CCU,2026-04-20,13,Up to 90 min,,False,4e252a8b5a36a07e4dfe
UK017,Vistara,BLR,HYD,2026-04-20 13:14:41,2026-04-20 14:49:41,False,95,BLR - HYD,2026-04-20,13,91 to 180 min,,False,c66ec540dbcdde68db0a
6F229,IndiGo,MAA,DEL,2026-04-20 13:10:41,2026-04-20 14:30:41,False,80,MAA - DEL,2026-04-20,13,Up to 90 min,,False,d4e05357151e8969b015
SJ117,Spicejet,MAA,BLR,2026-04-20 13:10:41,2026-04-20 17:06:41,False,236,MAA - BLR,2026-04-20,13,181 to 300 min,,False,c6d766288cd70a792436
6F184,IndiGo,MAA,BOM,2026-04-20 13:05:41,2026-04-20 16:04:41,False,179,MAA - BOM,2026-04-20,13,91 to 180 min,,False,b36ec7cb10c99ac89460
AI031,Air India,DEL,MAA,2026-04-20 13:05:41,2026-04-20 16:11:41,False,186,DEL - MAA,2026-04-20,13,181 to 300 min,,False,9a90789b4c3ab1e4346f
AI178,Air India,CCU,BLR,2026-04-20 13:04:41,2026-04-20 14:03:41,False,59,CCU - BLR,2026-04-20,13,Up to 90 min,,False,7e011cbf23aab536f10e
SJ089,Spicejet,HYD,CCU,2026-04-20 12:42:41,2026-04-20 17:15:41,False,273,HYD - CCU,2026-04-20,12,181 to 300 min,,False,0f796b8de9e50e33283c
UK166,Vistara,HYD,MAA,2026-04-20 12:39:41,2026-04-20 17:32:41,False,293,HYD - MAA,2026-04-20,12,181 to 300 min,,False,d887b1e95bb95ae96a44
UK104,Vistara,DEL,BOM,2026-04-20 12:30:41,2026-04-20 13:52:41,False,82,DEL - BOM,2026-04-20,12,Up to 90 min,,False,04ada4788d5cc4107ffa
6F168,IndiGo,HYD,DEL,2026-04-20 12:18:41,2026-04-20 15:58:41,False,220,HYD - DEL,2026-04-20,12,181 to 300 min,,False,523bc999cc8a9af58ba2
AI222,Air India,BOM,DEL,2026-04-20 12:10:41,2026-04-20 13:14:41,False,64,BOM - DEL,2026-04-20,12,Up to 90 min,,False,f9a91e705e6ce60f458e
SJ025,Spicejet,BOM,CCU,2026-04-20 12:02:41,2026-04-20 15:29:41,False,207,BOM - CCU,2026-04-20,12,181 to 300 min,,False,953249c4441d27b0b8cd
6F255,IndiGo,DEL,BOM,2026-04-20 11:59:41,2026-04-20 15:33:41,False,214,DEL - BOM,2026-04-20,11,181 to 300 min,,False,09c08e43e3a443819bb9
UK228,Vistara,DEL,MAA,2026-04-20 11:58:41,2026-04-20 15:08:41,False,190,DEL - MAA,2026-04-20,11,181 to 300 min,,False,7cb4b454f6aea65cd125
6F158,IndiGo,CCU,MAA,2026-04-20 11:58:41,2026-04-20 16:04:41,False,246,CCU - MAA,2026-04-20,11,181 to 300 min,,False,fa73581255b7feabc413
SJ218,Spicejet,DEL,HYD,2026-04-20 11:58:41,2026-04-20 15:03:41,False,185,DEL - HYD,2026-04-20,11,181 to 300 min,,False,b1d39780fc2325850cef
6F034,IndiGo,BOM,DEL,2026-04-20 11:53:41,2026-04-20 12:49:41,False,56,BOM - DEL,2026-04-20,11,Up to 90 min,,False,829b5b51805c492969ec
